r,d
0,1
0.05,0.9975
0.1,0.99
0.15,0.9775
0.2,0.96
0.25,0.9375
0.3,0.91
0.35,0.8775
0.4,0.84
0.45,0.7975
0.5,0.75
0.55,0.6975
0.6,0.64
0.65,0.5775
0.7,0.51
0.75,0.4375
0.8,0.36
0.85,0.2775
0.9,0.19
0.95,0.0975
1,0
